Year,DeadSea_Level_End_Of_Year,DeadSeaInPrecent_End_Of_Year,sns_drt,rpr_hail,rpr_snow,rpr_gale,tmp_air_max,tmp_air_min,Change_From_Last_Year
1976,-399.12,0.9954594017094013,385.59999999999997,0.022988505747126436,0.0,0.0,15.582666666666668,6.7493333333333325,
1977,-399.88,0.9751602564102563,290.88095238095235,0.048621293580971,0.03679435483870968,0.0026881720430107525,13.589352583586626,6.001286911395764,-0.7599999999999909
1978,-400.38,0.9618055555555554,388.1333333333334,0.03712406015037594,0.00808168795973674,0.035227272727272725,14.250986928104576,5.902926303854875,-0.5
1979,-400.14,0.9682158119658121,347.2986111111111,0.010017421602787456,0.007984901277584203,0.029416642543542235,16.30180341880342,7.491705756661638,0.2400000000000091
1980,-400.49,0.9588675213675208,361.1458333333333,0.048957179771133265,0.02342017738359202,0.014184397163120567,15.008007221057534,6.466868695013349,-0.35000000000002274
1981,-400.63,0.955128205128205,341.5714285714285,0.03293197043197043,0.016776315789473684,0.028455519580635216,14.518208898944195,6.613934640522875,-0.13999999999998636
1982,-401.39,0.9348290598290598,371.33035714285717,0.009259259259259259,0.0,0.001984126984126984,17.195194744564493,8.315813725490196,-0.7599999999999909
1983,-402.04,0.9174679487179479,263.4638888888889,0.04292929292929293,0.049215633222986166,0.029485049833887042,12.390532407407406,5.061111111111111,-0.6500000000000341
1984,-403.08,0.8896901709401711,376.5,0.010416666666666666,0.0,0.0,17.18982668566002,8.09045584045584,-1.0399999999999636
1985,-403.66,0.874198717948717,380.9166666666667,0.006666666666666667,0.0,0.0,18.510141093474424,7.591060405643739,-0.5800000000000409
1986,-404.51,0.8514957264957265,451.7083333333333,0.0,0.0,0.015527950310559006,21.807482230586896,11.136305095939932,-0.8499999999999659
1987,-405.02,0.8378739316239318,552.8285714285714,0.0071428571428571435,0.0,0.006211180124223602,28.063809523809528,18.15049155145929,-0.5099999999999909
1988,-405.76,0.8181089743589743,567.5714285714286,0.0,0.0,0.0,26.23923062662218,14.095350924895977,-0.7400000000000091
1989,-406.75,0.7916666666666663,554.0619047619047,0.0,0.0,0.0030864197530864196,24.287287418118897,12.80872481769868,-0.9900000000000091
1990,-407.6,0.7689636752136743,552.2593406593406,0.0,0.0,0.0,25.273255789909015,13.33047251575825,-0.8500000000000227
1991,-408.31,0.7499999999999997,513.7970238095237,0.005555555555555556,0.0,0.0,23.38511857486151,13.168370142961876,-0.7099999999999795
1992,-407.38,0.7748397435897434,503.0714285714286,0.05812324929971988,0.06448412698412699,0.05169076751946607,24.28075632990244,13.985589079840148,0.9300000000000068
1993,-407.64,0.7678952991452992,522.598901098901,0.007692307692307693,0.0,0.002958579881656805,25.64960707184972,14.568534039489926,-0.2599999999999909
1994,-408.33,0.7494658119658121,537.2875457875458,0.009615384615384616,0.0,0.0,27.90831062320033,16.98083456905207,-0.6899999999999977
1995,-409.17,0.7270299145299138,579.3392857142857,0.0,0.0,0.0,26.836398409498212,14.544147065412188,-0.8400000000000318
1996,-410.07,0.7029914529914528,548.0406746031746,0.0,0.0,0.003472222222222222,26.545296208048224,15.221157135874881,-0.8999999999999773
1997,-410.84,0.682425213675214,520.5595238095237,0.018518518518518517,0.013333333333333334,0.0,24.143434296882614,14.090201405309884,-0.7699999999999818
1998,-411.9,0.6541132478632481,583.6994047619047,0.0,0.0,0.0,26.27123909359374,14.366785168965405,-1.0600000000000023
1999,-413.18,0.6199252136752131,531.9833333333333,0.0,0.0,0.0,26.612899430313792,15.910711407386941,-1.2800000000000296
2000,-414.33,0.5892094017094018,406.04583333333335,0.028935185185185185,0.019497863247863248,0.0011904761904761904,20.546013882699043,11.387331200087333,-1.1499999999999773
2001,-415.39,0.5608974358974359,492.86249999999995,0.0,0.0,0.0,22.708821260014886,12.293485953558907,-1.0600000000000023
2002,-416.24,0.5381944444444439,400.6708333333333,0.06324404761904762,0.03659188034188034,0.0043859649122807015,20.361416175878386,11.042581795779471,-0.8500000000000227
2003,-416.73,0.5251068376068367,498.69565217391306,0.024154589371980676,0.0076726342710997444,0.0012077294685990338,22.34908574498456,12.436692553082045,-0.4900000000000091
2004,-417.551,0.5031784188034188,397.8181818181818,0.024242424242424242,0.004132231404958678,0.004132231404958678,21.58431586126612,11.862990656463404,-0.8209999999999695
2005,-418.53,0.47702991452991494,444.90909090909093,0.018181818181818184,0.0,0.001998243302591129,21.205427468816218,11.715898931680426,-0.978999999999985
2006,-419.7,0.4457799145299145,406.875,0.010416666666666666,0.0,0.004934640522875817,21.241048780127393,12.375841741303136,-1.170000000000016
2007,-420.74,0.41800213675213616,448.69444444444446,0.022222222222222223,0.0,0.003766478342749529,21.176111334048976,11.65627188027509,-1.0400000000000205
2008,-422.09,0.38194444444444475,519.4615384615385,0.06153846153846154,0.023076923076923075,0.003605769230769231,24.275621371680565,15.104570521394466,-1.349999999999966
2009,-423.09,0.3552350427350431,594.0,0.0,0.0,0.0011574074074074073,24.939642976481338,14.802331156529158,-1.0
2010,-423.38,0.347489316239316,537.9,0.0,0.0,0.0,23.103668002763413,12.01698249443768,-0.29000000000002046
2011,-425.503,0.29078525641025643,529.0,0.0,0.0,0.0010683760683760683,21.319322279525586,12.173537346343137,-2.1229999999999905
2012,-426.58,0.26201923076923084,495.0,0.0,0.0,0.0025430359937402194,18.468865624838546,8.412152668313807,-1.0769999999999982
2013,-426.73,0.25801282051281965,386.625,0.078125,0.047619047619047616,0.02992957746478873,18.138936733998836,9.820735909152082,-0.1500000000000341
2015,-429.3,0.18936965811965747,234.46153846153845,0.038461538461538464,0.04358974358974359,0.017350255378424394,15.788867782779768,7.738067968494656,-2.569999999999993
2016,-430.79,0.14957264957264868,449.94166666666666,0.0,0.041666666666666664,0.006038647342995169,22.289673115550315,13.285915945671048,-1.490000000000009
2017,-432.26,0.11030982905982895,516.4738095238095,0.0,0.0,0.0,21.87260166020206,10.70842321353819,-1.4699999999999704
2018,-433.31,0.08226495726495685,483.14065934065934,0.0,0.0,0.001148105625717566,23.17671961063565,13.694349711495809,-1.0500000000000114
2019,-433.44,0.07879273504273475,412.66666666666674,0.045454545454545456,0.09090909090909091,0.024793388429752063,15.567726827899595,7.10505669842052,-0.12999999999999545
2020,-435.18,0.03231837606837552,378.83516483516485,0.0,0.038461538461538464,0.006888633754305396,17.22944090484547,9.374616643076855,-1.740000000000009
2021,-436.0,0.010416666666666304,573.1349206349207,0.0,0.0,0.0,25.883525565677346,13.48797996865511,-0.8199999999999932
